flashcard_id,student_id,subject,topic,question,answer,is_known
f69a48fd-8e79-4fc4-8219-bd252c7d54e7,S0682,Math,Algebra,Why is Algebra important?,Algebra is important because ...,True
1029fcbc-920d-4bba-b781-2ab8a5e422e5,S0682,English,Grammar,Explain Grammar in brief.,Grammar is important because ...,True
d3f4e74a-68e0-4da1-9fe2-7af52a6ea26b,S0682,Social Science,Economics,Explain Economics in brief.,The key concept of Economics is ...,True
0e82e6e8-4da3-4c5b-9ef6-aae7e945df82,S0682,English,Writing Skills,Explain Writing Skills in brief.,An example of Writing Skills: ...,True
a21003a6-004a-4d21-b5b6-7a64aa86a56b,S0682,English,Poetry,Give an example of Poetry.,Poetry is important because ...,False
1c7db7e5-bac2-4883-a289-d3d7e0db25ee,S0682,Math,Algebra,Explain Algebra in brief.,An example of Algebra: ...,True
ff5aaf7d-b35f-473d-85bc-dca82903d4ac,S0682,Math,Trigonometry,What is the key concept of Trigonometry?,Trigonometry is important because ...,False
18ff0683-27a8-4d7f-8366-7b4e478aef33,S0682,Science,Genetics,Explain Genetics in brief.,Genetics can be explained as ...,False
072415f3-c5c2-48d5-988c-b347f8ad2ed1,S0974,Science,Genetics,What is the key concept of Genetics?,The key concept of Genetics is ...,False
10da410f-fe41-4499-96aa-3821cb01ab1c,S0974,Social Science,Economics,Why is Economics important?,Economics can be explained as ...,False
bb923c49-efc9-43b7-a600-7fec1316e7cd,S0974,Math,Calculus,Give an example of Calculus.,Calculus is important because ...,True
3678f69b-cc90-4e5b-a31b-c2a1a479dbb5,S0974,English,Grammar,Explain Grammar in brief.,Grammar is important because ...,False
f571bc5b-8aa3-41c7-bad2-c403cc7d313a,S0974,Computer Science,Programming,Why is Programming important?,Programming can be explained as ...,False
da7adb95-db94-46db-b0ef-dc4c3fd517a3,S0974,Science,Chemistry,Give an example of Chemistry.,The key concept of Chemistry is ...,True
3b881575-8662-4ca2-b414-8d01ed3e83e1,S0974,Math,Algebra,Give an example of Algebra.,An example of Algebra: ...,False
575dda2e-1e44-46fc-976a-31c22f7b0c2e,S0974,Computer Science,Algorithms,Explain Algorithms in brief.,Algorithms can be explained as ...,True
db7511c2-822b-432b-a2f4-b497cc2c2ec4,S0383,Science,Physics,Give an example of Physics.,Physics is defined as ...,False
daf7fd6c-f188-47b5-8eeb-5116e97b5b57,S0383,Economics,Micro,Define Micro.,The key concept of Micro is ...,True
2746b5cf-12e9-4f6a-a771-998b0c52cb49,S0383,Social Science,Economics,Why is Economics important?,The key concept of Economics is ...,True
b6458384-04c2-4157-8342-cd07ad855e7b,S0383,Computer Science,AI,Give an example of AI.,AI can be explained as ...,False
818d5b47-c02c-4281-b3d8-66217453a3b5,S0383,History,World Wars,Why is World Wars important?,World Wars is important because ...,True
ccdc9c54-5109-49dc-ac99-9db6cbd12faa,S0383,Science,Physics,Explain Physics in brief.,Physics is defined as ...,True
4977cc6d-90b0-453b-828c-59765cf62d1d,S0383,Social Science,Geography,Explain Geography in brief.,Geography is defined as ...,True
1eab8d54-bb74-4470-a2c7-8a185849a4d1,S0383,Economics,Micro,Why is Micro important?,Micro is important because ...,False
